countyname,fips,category,PH1998,PA1998,POP1998,PH2003,PA2003,POP2003
BEAVER,49001,Rural,4,1,5705,7,1,6285
BOX ELDER,49003,Rural,30,0,41507,30,0,44022
CACHE,49005,Rural,115,6,88326,93,11,98176
CARBON,49007,Rural,22,6,20695,39,5,19558
DAGGETT,49009,Rural,0,0,783,0,0,921
DAVIS,49011,Urban,205,19,229450,266,31,262038
DUCHESNE,49013,Rural,21,3,14177,23,1,14698
EMERY,49015,Rural,4,3,11059,1,3,10477
GARFIELD,49017,Rural,0,3,4570,4,3,4532
GRAND,49019,Rural,7,0,8197,14,3,8464
IRON,49021,Rural,21,3,31687,33,3,37559
JUAB,49023,Rural,9,0,7898,11,0,8713
KANE,49025,Rural,2,0,6012,6,0,5937
MILLARD,49027,Rural,9,0,12246,10,0,13068
MORGAN,49029,Rural,2,0,6889,3,0,7938
PIUTE,49031,Rural,0,0,1372,0,0,1358
RICH,49033,Rural,3,1,1889,0,0,2079
SALT LAKE,49035,Urban,1885,106,870735,2388,155,940465
SAN JUAN,49037,Rural,2,3,14779,7,4,14240
SANPETE,49039,Rural,13,3,22445,23,1,24787
SEVIER,49041,Rural,12,3,18294,13,4,19318
SUMMIT,49043,Rural,33,3,27674,43,5,34073
TOOELE,49045,Rural,13,3,35476,39,8,48956
UINTAH,49047,Rural,22,0,24262,19,0,26019
UTAH,49049,Urban,379,24,344820,508,30,423286
WASATCH,49051,Rural,0,0,14132,14,1,18515
WASHINGTON,49053,Rural,93,10,84579,134,14,109767
WAYNE,49055,Rural,0,0,2421,1,4,2487
WEBER,49057,Urban,312,18,189553,399,30,205882
