countyname	fips	category	PH	PAPN	POP	abs_change_ph	abs_change_papn	change_ph	change_papn
BEAVER	49001	Rural	7	1	6285	3	-3	0.412623576	-0.473574095
BOX ELDER	49003	Rural	30	4	44022	0	-5	-0.04129221	-0.128038117
CACHE	49005	Rural	93	31	98176	-22	14	-0.354716525	0.117430093
CARBON	49007	Rural	39	9	19558	17	-1	0.931010213	-0.016335625
DAGGETT	49009	Rural	0	0	921	0	0	0	0
DAVIS	49011	Urban	266	77	262038	61	16	0.121679108	0.028699603
DUCHESNE	49013	Rural	23	5	14698	2	-1	0.08356627	-0.052088901
EMERY	49015	Rural	1	6	10477	-3	0	-0.266249186	0.03681883
GARFIELD	49017	Rural	4	7	4532	4	0	0.882612533	0.042653714
GRAND	49019	Rural	14	8	8464	7	2	0.800093307	0.196581237
IRON	49021	Rural	33	18	37559	12	0	0.215885291	-0.07235443
JUAB	49023	Rural	11	4	8713	2	0	0.122952355	-0.030769307
KANE	49025	Rural	6	1	5937	4	0	0.677943423	0.010366861
MILLARD	49027	Rural	10	4	13068	1	3	0.030294182	0.203374117
MORGAN	49029	Rural	3	0	7938	1	-1	0.087611051	-0.189393018
PIUTE	49031	Rural	0	0	1358	0	0	0	0
RICH	49033	Rural	0	1	2079	-3	0	-1.588141874	0.119970025
SALT LAKE	49035	Urban	2388	644	940465	503	121	0.374331701	0.084715791
SAN JUAN	49037	Rural	7	8	14240	5	4	0.35624588	0.274035662
SANPETE	49039	Rural	23	4	24787	10	-2	0.348712173	-0.10064832
SEVIER	49041	Rural	13	7	19318	1	0	0.016994739	-0.031121468
SUMMIT	49043	Rural	43	21	34073	10	0	0.06954129	-0.146260583
TOOELE	49045	Rural	39	17	48956	26	7	0.430188791	0.051211631
UINTAH	49047	Rural	19	7	26019	-3	-1	-0.176532188	-0.063233952
UTAH	49049	Urban	508	131	423286	129	11	0.101010008	-0.039528388
WASATCH	49051	Rural	14	10	18515	14	9	0.756143667	0.472082832
WASHINGTON	49053	Rural	134	44	109767	41	17	0.121203904	0.079343377
WAYNE	49055	Rural	1	4	2487	1	4	0.402090873	1.60836349
WEBER	49057	Urban	399	80	205882	87	8	0.29202568	0.011158375
