AREA	ZIP	PO_NAME	STATE	SUMBLKPOP	POP1999
884.51	00071	Uinta Ntl Forest	UT	678	0
213.1	00100	Wasatch National Forest	UT	994	0
32.66	84001	Altamont	UT	146	166
35.21	84002	Altonah	UT	10	11
39.39	84003	American Fork	UT	21927	30114
78.4	84004	Alpine	UT	3708	6270
38.02	84006	Bingham Canyon	UT	640	703
111.48	84007	Bluebell	UT	1443	1632
36.41	84010	Bountiful	UT	41734	48010
594.01	84013	Cedar Valley	UT	1644	1843
20.75	84014	Centerville	UT	11401	16019
29.75	84015	Clearfield	UT	35631	42796
696.82	84017	Coalville	UT	3217	5039
233.26	84018	Croydon	UT	156	213
24.04	84020	Draper	UT	7257	13174
1105.47	84021	Duchesne	UT	770	881
2633.31	84022	Dugway	UT	1871	2784
331.55	84023	Dutch John	UT	174	185
39.19	84025	Farmington	UT	9494	11987
58.55	84026	Fort Duchesne	UT	1633	1872
63.72	84028	Garden City	UT	254	284
105.16	84029	Grantsville	UT	4697	6105
31.5	84031	Hanna	UT	54	61
1110.47	84032	Heber City	UT	7961	10730
75.88	84035	Jensen	UT	620	711
1044.03	84036	Kamas	UT	2545	4199
19.04	84037	Kaysville	UT	18158	25094
320.75	84038	Laketown	UT	430	452
10.8	84039	Lapoint	UT	362	419
24.29	84040	Layton	UT	16501	22649
34.4	84041	Layton	UT	26882	35290
5.69	84042	Lindon	UT	3817	6138
28.23	84043	Lehi	UT	9995	16180
161.19	84044	Magna	UT	16991	18610
391.91	84046	Manila	UT	516	547
5.77	84047	Midvale	UT	24360	27023
30.06	84049	Midway	UT	1661	2226
378.46	84050	Morgan	UT	5379	6953
153.29	84051	Mountain Home	UT	231	261
165.72	84052	Myton	UT	938	1033
126.8	84053	Neola	UT	810	994
8.38	84054	North Salt Lake	UT	6442	8965
11.43	84056	Hill Afb	UT	5304	6342
9.13	84057	Orem	UT	27200	35311
11.65	84058	Orem	UT	21834	27819
26.09	84060	Park City	UT	4522	6832
42.09	84061	Peoa	UT	778	1270
10.06	84062	Pleasant Grove	UT	14986	23620
13.2	84063	Randlett	UT	78	89
226.93	84064	Randolph	UT	682	718
68.15	84065	Riverton	UT	15094	26457
1128.18	84066	Roosevelt	UT	6849	8147
10.12	84067	Roy	UT	25996	31922
107.38	84069	Rush Valley	UT	95	129
7.03	84070	Sandy	UT	18786	23696
433.19	84071	Stockton	UT	490	593
205.97	84072	Tabiona	UT	471	532
193.55	84073	Talmage	UT	1711	1864
356.8	84074	Tooele	UT	17632	23096
9.5	84075	Syracuse	UT	4553	7641
43.7	84076	Tridell	UT	363	417
4162.78	84078	Vernal	UT	17509	20532
246.11	84080	Vernon	UT	200	242
65.06	84082	Wallsburg	UT	469	811
5003.15	84083	Wendover	UT	1807	2164
10.42	84084	West Jordan	UT	36402	46250
101.58	84085	Whiterocks	UT	858	984
420.74	84086	Woodruff	UT	359	388
12.89	84087	Woods Cross	UT	8875	10549
20.51	84088	West Jordan	UT	19332	29153
14.28	84092	Sandy	UT	25375	32624
5.6	84093	Sandy	UT	26084	31006
5.18	84094	Sandy	UT	25902	31487
22.11	84095	South Jordan	UT	12488	25910
5.67	84097	Orem	UT	18647	23483
74.05	84098	Park City	UT	4454	10558
1.83	84101	Salt Lake City	UT	2474	2815
1.75	84102	Salt Lake City	UT	15380	16957
7.01	84103	Salt Lake City	UT	22303	23871
18.01	84104	Salt Lake City	UT	16918	18911
3.06	84105	Salt Lake City	UT	22016	23584
5.96	84106	Salt Lake City	UT	30430	33377
7.68	84107	Salt Lake City	UT	28392	30935
17.97	84108	Salt Lake City	UT	20078	22059
6.74	84109	Salt Lake City	UT	24003	25571
1.44	84111	Salt Lake City	UT	8263	8528
0.42	84112	Salt Lake City	UT	29	32
1.81	84113	Salt Lake City	UT	1189	1279
6.17	84115	Salt Lake City	UT	21427	22717
19.98	84116	Salt Lake City	UT	23376	26020
5.71	84117	Salt Lake City	UT	22181	24039
