zcta	year	panp	ph	pop	change_panp	change_ph	change_pop
84629	1998	0	0	2143	0	0	0
84628	1998	0	0	793	0	0	0
84782	1998	0	0	724	0	0	0
84783	1998	0	0	648	0	0	0
84780	1998	0	0	8641	0	0	0
84781	1998	0	0	75	0	0	0
84621	1998	0	0	203	0	0	0
84620	1998	0	0	930	0	0	0
84623	1998	0	0	178	0	0	0
84622	1998	0	0	1155	0	0	0
84624	1998	1	3	5679	0	0	0
84627	1998	1	1	4724	0	0	0
84626	1998	0	0	288	0	0	0
84013	1998	0	0	901	0	0	0
84010	1998	14	46	43685	0	0	0
84017	1998	2	1	3132	0	0	0
84014	1998	0	1	14578	0	0	0
84015	1998	2	1	44931	0	0	0
84018	1998	0	0	134	0	0	0
860HH	1998	0	0	0	0	0	0
84309	1998	0	0	549	0	0	0
84719	1998	1	0	121	0	0	0
84718	1998	0	0	164	0	0	0
84302	1998	2	11	20976	0	0	0
84714	1998	0	0	844	0	0	0
84717	1998	0	0	41	0	0	0
84301	1998	0	0	484	0	0	0
84306	1998	0	0	215	0	0	0
84307	1998	1	0	1248	0	0	0
84304	1998	0	0	43	0	0	0
84305	1998	0	0	730	0	0	0
84759	1998	3	0	2054	0	0	0
84534	1998	0	1	1844	0	0	0
84537	1998	0	0	1318	0	0	0
84639	1998	0	0	812	0	0	0
84531	1998	0	0	661	0	0	0
84530	1998	0	0	140	0	0	0
84533	1998	1	0	134	0	0	0
84532	1998	5	4	8506	0	0	0
84632	1998	0	0	1045	0	0	0
84633	1998	0	0	959	0	0	0
84630	1998	0	0	239	0	0	0
84631	1998	0	2	3523	0	0	0
84539	1998	0	0	408	0	0	0
84637	1998	0	0	84	0	0	0
84634	1998	2	5	2536	0	0	0
84635	1998	0	0	864	0	0	0
841XX	1998	0	0	0	0	0	0
84337	1998	2	4	8945	0	0	0
84336	1998	0	0	380	0	0	0
84335	1998	1	3	8364	0	0	0
84334	1998	0	0	145	0	0	0
84333	1998	0	0	2031	0	0	0
84332	1998	1	1	4536	0	0	0
84029	1998	1	0	6686	0	0	0
84028	1998	0	0	501	0	0	0
84027	1998	0	1	335	0	0	0
84026	1998	1	1	1152	0	0	0
84025	1998	6	2	12270	0	0	0
84024	1998	0	0	73	0	0	0
84023	1998	0	0	231	0	0	0
84022	1998	0	1	2187	0	0	0
84021	1998	1	0	2723	0	0	0
84338	1998	0	0	490	0	0	0
84540	1998	0	0	92	0	0	0
84542	1998	0	0	1830	0	0	0
84101	1998	3	1	3262	0	0	0
84701	1998	4	4	7558	0	0	0
84526	1998	0	0	3909	0	0	0
840XX	1998	0	0	104	0	0	0
84525	1998	0	0	1160	0	0	0
84522	1998	0	0	355	0	0	0
84523	1998	1	1	1690	0	0	0
84520	1998	2	0	1398	0	0	0
84521	1998	0	0	897	0	0	0
84103	1998	26	72	21657	0	0	0
845HH	1998	0	0	0	0	0	0
84098	1998	6	8	13324	0	0	0
84528	1998	0	0	2742	0	0	0
84529	1998	0	0	195	0	0	0
84339	1998	0	0	4479	0	0	0
84020	1998	3	6	25660	0	0	0
84038	1998	0	0	317	0	0	0
84321	1998	6	32	38114	0	0	0
84324	1998	0	0	805	0	0	0
84325	1998	0	0	1252	0	0	0
84326	1998	0	0	1092	0	0	0
84327	1998	0	0	847	0	0	0
84328	1998	0	0	1234	0	0	0
84329	1998	0	0	270	0	0	0
84032	1998	4	2	11500	0	0	0
84033	1998	0	0	931	0	0	0
84034	1998	0	0	128	0	0	0
84035	1998	0	0	727	0	0	0
84036	1998	1	0	3887	0	0	0
84037	1998	0	9	25370	0	0	0
84404	1998	9	7	45136	0	0	0
84092	1998	4	5	30219	0	0	0
84739	1998	0	0	485	0	0	0
84738	1998	0	1	4325	0	0	0
84093	1998	2	7	25324	0	0	0
84733	1998	0	0	253	0	0	0
84732	1998	0	0	67	0	0	0
84731	1998	0	0	167	0	0	0
84730	1998	0	0	478	0	0	0
84737	1998	2	2	12473	0	0	0
84736	1998	0	0	217	0	0	0
84735	1998	1	0	177	0	0	0
84734	1998	0	0	250	0	0	0
84513	1998	3	1	1880	0	0	0
84512	1998	0	0	1196	0	0	0
84511	1998	1	0	4444	0	0	0
84510	1998	0	0	922	0	0	0
84516	1998	0	0	343	0	0	0
84773	1998	0	0	300	0	0	0
84518	1998	0	0	647	0	0	0
84651	1998	9	16	17735	0	0	0
84094	1998	7	42	28234	0	0	0
84095	1998	0	2	29815	0	0	0
84083	1998	0	0	1604	0	0	0
84724	1998	0	0	802	0	0	0
84725	1998	1	0	1472	0	0	0
84120	1998	8	25	44979	0	0	0
84121	1998	13	24	42954	0	0	0
84720	1998	10	10	29204	0	0	0
84119	1998	16	28	47800	0	0	0
84124	1998	27	92	21147	0	0	0
84723	1998	0	0	535	0	0	0
84128	1998	0	0	20620	0	0	0
84728	1998	0	0	201	0	0	0
84729	1998	0	0	358	0	0	0
84606	1998	4	4	28979	0	0	0
84604	1998	20	94	48492	0	0	0
84049	1998	0	0	2899	0	0	0
844HH	1998	0	0	0	0	0	0
84601	1998	7	20	27299	0	0	0
84116	1998	4	4	31780	0	0	0
841HH	1998	0	0	0	0	0	0
84044	1998	5	3	22823	0	0	0
84047	1998	9	15	28337	0	0	0
84046	1998	0	0	690	0	0	0
84041	1998	14	52	37134	0	0	0
84040	1998	4	1	23178	0	0	0
84043	1998	0	0	23586	0	0	0
84042	1998	0	0	8367	0	0	0
84664	1998	0	1	5800	0	0	0
84667	1998	0	0	319	0	0	0
84660	1998	3	9	23187	0	0	0
84663	1998	4	3	21436	0	0	0
84662	1998	0	0	1235	0	0	0
84501	1998	5	14	12682	0	0	0
84712	1998	0	0	132	0	0	0
84401	1998	7	13	28014	0	0	0
86044	1998	0	0	0	0	0	0
84646	1998	0	0	1561	0	0	0
84751	1998	0	1	1525	0	0	0
84750	1998	0	0	467	0	0	0
84753	1998	0	0	87	0	0	0
84752	1998	0	0	815	0	0	0
84755	1998	0	0	116	0	0	0
84754	1998	0	0	3519	0	0	0
84757	1998	0	0	875	0	0	0
84118	1998	10	10	64537	0	0	0
84117	1998	11	28	23972	0	0	0
84758	1998	0	0	533	0	0	0
84115	1998	11	10	24380	0	0	0
84113	1998	31	59	0	0	0	0
84112	1998	12	21	1648	0	0	0
84111	1998	13	14	10667	0	0	0
84716	1998	0	0	380	0	0	0
84340	1998	1	0	2308	0	0	0
84341	1998	5	28	16236	0	0	0
84056	1998	3	5	4785	0	0	0
84057	1998	6	17	35449	0	0	0
84054	1998	1	0	8751	0	0	0
84055	1998	0	0	564	0	0	0
84052	1998	0	0	1225	0	0	0
84053	1998	0	0	609	0	0	0
84050	1998	1	1	6995	0	0	0
84051	1998	0	2	266	0	0	0
84082	1998	1	0	707	0	0	0
