zip	year	np	pa	ph	panp	pop	change_ph	change_panp	change_pop
84629	1998	0	0	0	0	2051	0	0	0
84628	1998	0	0	0	0	600	0	0	0
84784	1998	3	0	0	3	0	0	0	0
84782	1998	0	0	0	0	510	0	0	0
84783	1998	0	0	0	0	376	0	0	0
84780	1998	0	0	0	0	4134	0	0	0
84781	1998	0	0	0	0	31	0	0	0
84621	1998	0	0	0	0	167	0	0	0
84620	1998	0	0	0	0	0	0	0	0
84623	1998	0	0	0	0	0	0	0	0
84622	1998	0	0	0	0	945	0	0	0
84624	1998	1	0	3	1	6076	0	0	0
84627	1998	0	1	1	1	3492	0	0	0
84626	1998	0	0	0	0	0	0	0	0
84308	1998	0	0	0	0	250	0	0	0
84309	1998	0	0	0	0	380	0	0	0
84719	1998	1	0	0	1	111	0	0	0
84718	1998	0	0	0	0	0	0	0	0
84715	1998	0	0	0	0	0	0	0	0
84714	1998	0	0	0	0	12	0	0	0
84716	1998	0	0	0	0	131	0	0	0
84306	1998	0	0	0	0	537	0	0	0
84710	1998	0	0	0	0	159	0	0	0
84304	1998	0	0	0	0	0	0	0	0
84305	1998	0	0	0	0	665	0	0	0
84535	1998	1	0	0	1	2529	0	0	0
84534	1998	0	0	1	0	0	0	0	0
84537	1998	0	0	0	0	0	0	0	0
84536	1998	0	1	0	1	1411	0	0	0
84531	1998	0	0	0	0	647	0	0	0
84530	1998	0	0	0	0	0	0	0	0
84533	1998	0	1	0	1	125	0	0	0
84532	1998	5	0	4	5	6338	0	0	0
84539	1998	0	0	0	0	0	0	0	0
84540	1998	0	0	0	0	208	0	0	0
84542	1998	0	0	0	0	1938	0	0	0
84122	1998	0	0	0	0	0	0	0	0
84123	1998	6	0	4	6	29167	0	0	0
84120	1998	7	1	25	8	37983	0	0	0
84121	1998	10	3	24	13	39958	0	0	0
84126	1998	0	0	0	0	0	0	0	0
84127	1998	0	0	0	0	0	0	0	0
84124	1998	19	8	92	27	20666	0	0	0
84125	1998	0	1	0	1	0	0	0	0
84128	1998	0	0	0	0	15510	0	0	0
84751	1998	0	0	1	0	2089	0	0	0
84750	1998	0	0	0	0	452	0	0	0
84753	1998	0	0	0	0	0	0	0	0
84752	1998	0	0	0	0	0	0	0	0
84755	1998	0	0	0	0	11	0	0	0
84754	1998	0	0	0	0	2995	0	0	0
84757	1998	0	0	0	0	114	0	0	0
84756	1998	0	0	0	0	767	0	0	0
84759	1998	2	1	0	3	1797	0	0	0
84758	1998	0	0	0	0	538	0	0	0
84058	1998	2	2	8	4	21834	0	0	0
84190	1998	1	0	1	1	0	0	0	0
84056	1998	1	2	5	3	5304	0	0	0
84057	1998	2	4	17	6	27200	0	0	0
84054	1998	1	0	0	1	6442	0	0	0
84055	1998	0	0	0	0	0	0	0	0
84052	1998	0	0	0	0	938	0	0	0
84053	1998	0	0	0	0	810	0	0	0
84199	1998	0	0	0	0	0	0	0	0
84051	1998	0	0	2	0	231	0	0	0
84302	1998	2	0	11	2	17529	0	0	0
84301	1998	0	0	0	0	0	0	0	0
84711	1998	0	0	1	0	0	0	0	0
84307	1998	1	0	0	1	974	0	0	0
84713	1998	2	1	1	3	2560	0	0	0
84712	1998	0	0	0	0	90	0	0	0
84405	1998	6	6	33	12	21666	0	0	0
84404	1998	6	3	7	9	37266	0	0	0
84407	1998	0	0	1	0	0	0	0	0
84401	1998	7	0	13	7	23306	0	0	0
84403	1998	16	2	102	18	28591	0	0	0
84402	1998	0	0	1	0	0	0	0	0
84409	1998	0	0	10	0	0	0	0	0
84408	1998	1	0	1	1	515	0	0	0
84779	1998	0	0	0	0	0	0	0	0
84078	1998	5	0	12	5	17509	0	0	0
84772	1998	0	0	0	0	207	0	0	0
84013	1998	0	0	0	0	1644	0	0	0
84010	1998	11	3	46	14	41734	0	0	0
84011	1998	0	0	0	0	0	0	0	0
84016	1998	0	1	0	1	0	0	0	0
84017	1998	1	1	1	2	3217	0	0	0
84014	1998	0	0	1	0	11401	0	0	0
84015	1998	1	1	1	2	35631	0	0	0
84018	1998	0	0	0	0	156	0	0	0
84158	1998	0	0	0	0	0	0	0	0
84152	1998	0	0	0	0	0	0	0	0
84151	1998	0	0	0	0	0	0	0	0
84150	1998	0	0	2	0	0	0	0	0
84157	1998	0	0	0	0	0	0	0	0
84638	1998	0	0	0	0	0	0	0	0
84639	1998	0	0	0	0	0	0	0	0
84632	1998	0	0	0	0	0	0	0	0
84633	1998	0	0	0	0	0	0	0	0
84630	1998	0	0	0	0	207	0	0	0
84631	1998	0	0	2	0	3930	0	0	0
84636	1998	0	0	0	0	0	0	0	0
84637	1998	0	0	0	0	0	0	0	0
84634	1998	1	1	5	2	1323	0	0	0
84635	1998	0	0	0	0	805	0	0	0
84337	1998	2	0	4	2	6617	0	0	0
84336	1998	0	0	0	0	1223	0	0	0
84335	1998	1	0	3	1	7597	0	0	0
84334	1998	0	0	0	0	0	0	0	0
84333	1998	0	0	0	0	2129	0	0	0
84332	1998	1	0	1	1	5072	0	0	0
84331	1998	0	0	0	0	267	0	0	0
84330	1998	0	0	0	0	299	0	0	0
84143	1998	4	1	45	5	0	0	0	0
84339	1998	0	0	0	0	3295	0	0	0
