countyname	fips	category	PH	PA	POP
BEAVER	49001	Rural	4	1	5705
BOX ELDER	49003	Rural	30	0	41507
CACHE	49005	Rural	115	6	88326
CARBON	49007	Rural	22	6	20695
DAGGETT	49009	Rural	0	0	783
DAVIS	49011	Urban	205	19	229450
DUCHESNE	49013	Rural	21	3	14177
EMERY	49015	Rural	4	3	11059
GARFIELD	49017	Rural	0	3	4570
GRAND	49019	Rural	7	0	8197
IRON	49021	Rural	21	3	31687
JUAB	49023	Rural	9	0	7898
KANE	49025	Rural	2	0	6012
MILLARD	49027	Rural	9	0	12246
MORGAN	49029	Rural	2	0	6889
PIUTE	49031	Rural	0	0	1372
RICH	49033	Rural	3	1	1889
SALT LAKE	49035	Urban	1885	106	870735
SAN JUAN	49037	Rural	2	3	14779
SANPETE	49039	Rural	13	3	22445
SEVIER	49041	Rural	12	3	18294
SUMMIT	49043	Rural	33	3	27674
TOOELE	49045	Rural	13	3	35476
UINTAH	49047	Rural	22	0	24262
UTAH	49049	Urban	379	24	344820
WASATCH	49051	Rural	0	0	14132
WASHINGTON	49053	Rural	93	10	84579
WAYNE	49055	Rural	0	0	2421
WEBER	49057	Urban	312	18	189553
