zcta	year	panp	ph	pop	change_panp	change_ph	change_pop
84629	2003	0	0	2143	0	0	0
84628	2003	0	0	793	0	0	0
84782	2003	0	0	724	0	0	0
84783	2003	1	0	648	1	0	0
84780	2003	1	1	8641	1	1	0
84781	2003	0	0	75	0	0	0
84621	2003	0	0	203	0	0	0
84620	2003	0	0	930	0	0	0
84623	2003	0	0	178	0	0	0
84622	2003	0	0	1155	0	0	0
84624	2003	3	4	5679	2	1	0
84627	2003	1	4	4724	0	3	0
84626	2003	0	0	288	0	0	0
84013	2003	0	0	901	0	0	0
84010	2003	19	65	43685	5	19	0
84017	2003	1	1	3132	-1	0	0
84014	2003	1	6	14578	1	5	0
84015	2003	2	1	44931	0	0	0
84018	2003	0	0	134	0	0	0
860HH	2003	0	0	0	0	0	0
84309	2003	0	0	549	0	0	0
84719	2003	0	0	121	-1	0	0
84718	2003	0	0	164	0	0	0
84302	2003	1	21	20976	-1	10	0
84714	2003	0	0	844	0	0	0
84717	2003	0	0	41	0	0	0
84301	2003	0	0	484	0	0	0
84306	2003	0	0	215	0	0	0
84307	2003	0	0	1248	-1	0	0
84304	2003	0	0	43	0	0	0
84305	2003	0	0	730	0	0	0
84759	2003	4	3	2054	1	3	0
84534	2003	1	2	1844	1	1	0
84537	2003	0	0	1318	0	0	0
84639	2003	0	0	812	0	0	0
84531	2003	0	0	661	0	0	0
84530	2003	0	0	140	0	0	0
84533	2003	1	0	134	0	0	0
84532	2003	5	10	8506	0	6	0
84632	2003	0	0	1045	0	0	0
84633	2003	0	0	959	0	0	0
84630	2003	0	0	239	0	0	0
84631	2003	0	3	3523	0	1	0
84539	2003	0	0	408	0	0	0
84637	2003	0	0	84	0	0	0
84634	2003	2	8	2536	0	3	0
84635	2003	0	0	864	0	0	0
841XX	2003	0	0	0	0	0	0
84337	2003	2	4	8945	0	0	0
84336	2003	0	0	380	0	0	0
84335	2003	1	2	8364	0	-1	0
84334	2003	0	0	145	0	0	0
84333	2003	0	0	2031	0	0	0
84332	2003	0	3	4536	-1	2	0
84029	2003	1	1	6686	0	1	0
84028	2003	0	0	501	0	0	0
84027	2003	0	0	335	0	-1	0
84026	2003	1	2	1152	0	1	0
84025	2003	1	3	12270	-5	1	0
84024	2003	0	0	73	0	0	0
84023	2003	0	0	231	0	0	0
84022	2003	0	0	2187	0	-1	0
84021	2003	1	2	2723	0	2	0
84338	2003	0	0	490	0	0	0
84540	2003	0	0	92	0	0	0
84542	2003	0	0	1830	0	0	0
84101	2003	3	4	3262	0	3	0
84701	2003	4	8	7558	0	4	0
84526	2003	1	0	3909	1	0	0
840XX	2003	0	0	104	0	0	0
84525	2003	1	0	1160	1	0	0
84522	2003	0	0	355	0	0	0
84523	2003	0	0	1690	-1	-1	0
84520	2003	2	0	1398	0	0	0
84521	2003	1	0	897	1	0	0
84103	2003	23	58	21657	-3	-14	0
845HH	2003	0	0	0	0	0	0
84098	2003	5	8	13324	-1	0	0
84528	2003	0	0	2742	0	0	0
84529	2003	0	0	195	0	0	0
84339	2003	0	0	4479	0	0	0
84020	2003	9	9	25660	6	3	0
84038	2003	0	0	317	0	0	0
84321	2003	12	20	38114	6	-12	0
84324	2003	0	0	805	0	0	0
84325	2003	0	0	1252	0	0	0
84326	2003	0	0	1092	0	0	0
84327	2003	0	0	847	0	0	0
84328	2003	0	0	1234	0	0	0
84329	2003	0	0	270	0	0	0
84032	2003	8	10	11500	4	8	0
84033	2003	0	0	931	0	0	0
84034	2003	0	0	128	0	0	0
84035	2003	0	0	727	0	0	0
84036	2003	1	0	3887	0	0	0
84037	2003	2	10	25370	2	1	0
84404	2003	5	5	45136	-4	-2	0
84092	2003	2	3	30219	-2	-2	0
84739	2003	0	0	485	0	0	0
84738	2003	0	2	4325	0	1	0
84093	2003	5	5	25324	3	-2	0
84733	2003	0	0	253	0	0	0
84732	2003	0	0	67	0	0	0
84731	2003	0	0	167	0	0	0
84730	2003	0	0	478	0	0	0
84737	2003	2	2	12473	0	0	0
84736	2003	0	0	217	0	0	0
84735	2003	0	0	177	-1	0	0
84734	2003	0	0	250	0	0	0
84513	2003	2	1	1880	-1	0	0
84512	2003	0	0	1196	0	0	0
84511	2003	3	1	4444	2	1	0
84510	2003	0	0	922	0	0	0
84516	2003	0	0	343	0	0	0
84773	2003	0	0	300	0	0	0
84518	2003	1	0	647	1	0	0
84651	2003	5	29	17735	-4	13	0
84094	2003	8	61	28234	1	19	0
84095	2003	5	8	29815	5	6	0
84083	2003	1	0	1604	1	0	0
84724	2003	0	0	802	0	0	0
84725	2003	1	0	1472	0	0	0
84120	2003	19	55	44979	11	30	0
84121	2003	13	44	42954	0	20	0
84720	2003	11	23	29204	1	13	0
84119	2003	5	17	47800	-11	-11	0
84124	2003	38	137	21147	11	45	0
84723	2003	0	0	535	0	0	0
84128	2003	0	1	20620	0	1	0
84728	2003	0	0	201	0	0	0
84729	2003	0	0	358	0	0	0
84606	2003	2	5	28979	-2	1	0
84604	2003	32	133	48492	12	39	0
84049	2003	0	0	2899	0	0	0
844HH	2003	0	0	0	0	0	0
84601	2003	9	23	27299	2	3	0
84116	2003	5	11	31780	1	7	0
841HH	2003	0	0	0	0	0	0
84044	2003	6	5	22823	1	2	0
84047	2003	11	29	28337	2	14	0
84046	2003	0	0	690	0	0	0
84041	2003	19	83	37134	5	31	0
84040	2003	9	12	23178	5	11	0
84043	2003	1	1	23586	1	1	0
84042	2003	1	1	8367	1	1	0
84664	2003	0	0	5800	0	-1	0
84667	2003	0	0	319	0	0	0
84660	2003	2	9	23187	-1	0	0
84663	2003	1	9	21436	-3	6	0
84662	2003	0	0	1235	0	0	0
84501	2003	4	27	12682	-1	13	0
84712	2003	0	0	132	0	0	0
84401	2003	5	12	28014	-2	-1	0
86044	2003	0	0	0	0	0	0
84646	2003	0	0	1561	0	0	0
84751	2003	0	1	1525	0	0	0
84750	2003	0	0	467	0	0	0
84753	2003	0	0	87	0	0	0
84752	2003	0	0	815	0	0	0
84755	2003	0	0	116	0	0	0
84754	2003	0	0	3519	0	0	0
84757	2003	0	0	875	0	0	0
84118	2003	8	23	64537	-2	13	0
84117	2003	16	32	23972	5	4	0
84758	2003	0	0	533	0	0	0
84115	2003	7	13	24380	-4	3	0
84113	2003	30	96	0	-1	37	0
84112	2003	25	46	1648	13	25	0
84111	2003	13	11	10667	0	-3	0
84716	2003	0	0	380	0	0	0
84340	2003	0	0	2308	-1	0	0
84341	2003	10	62	16236	5	34	0
84056	2003	3	4	4785	0	-1	0
84057	2003	9	42	35449	3	25	0
84054	2003	1	0	8751	0	0	0
84055	2003	0	0	564	0	0	0
84052	2003	1	0	1225	1	0	0
84053	2003	0	0	609	0	0	0
84050	2003	0	2	6995	-1	1	0
84051	2003	0	1	266	0	-1	0
84082	2003	0	0	707	-1	0	0
84058	2003	4	8	28251	0	0	0
84403	2003	33	133	34976	15	31	0
840HH	2003	0	0	0	0	0	0
84726	2003	0	0	971	0	0	0
84084	2003	2	0	44151	0	-2	0
84715	2003	3	0	373	3	0	0
84087	2003	0	1	9901	0	1	0
84123	2003	15	23	36943	9	19	0
84004	2003	0	4	7576	0	1	0
84108	2003	18	46	21239	11	22	0
84109	2003	14	15	24029	4	4	0
84740	2003	0	0	100	0	0	0
84741	2003	1	4	4777	0	3	0
84747	2003	0	0	943	0	0	0
84744	2003	0	0	294	0	0	0
84745	2003	0	0	3396	0	0	0
84711	2003	0	0	479	0	-1	0
84102	2003	21	123	17424	2	-20	0
84749	2003	0	0	217	0	0	0
84104	2003	6	5	22526	-2	2	0
84105	2003	10	29	22363	1	9	0
84106	2003	9	15	32945	2	9	0
84107	2003	19	155	30769	2	38	0
84180	2003	0	0	0	0	-1	0
84722	2003	0	0	489	0	0	0
84069	2003	0	0	472	0	0	0
84713	2003	1	4	3531	-2	3	0
84063	2003	0	0	500	0	0	0
84062	2003	6	14	27106	3	9	0
84061	2003	0	2	535	0	2	0
84060	2003	8	16	7308	5	8	0
84067	2003	4	9	34657	1	2	0
84066	2003	2	12	8693	-1	6	0
84065	2003	6	3	33277	2	3	0
84064	2003	1	0	764	0	-2	0
84405	2003	10	70	25301	-2	37	0
84642	2003	0	2	3567	0	2	0
84640	2003	0	0	148	0	0	0
84647	2003	1	2	3349	0	2	0
86514	2003	0	0	0	0	0	0
84645	2003	0	1	1417	0	1	0
846HH	2003	0	0	0	0	0	0
84080	2003	0	0	291	0	0	0
84649	2003	0	0	801	0	0	0
84648	2003	3	7	4947	0	2	0
84085	2003	0	0	526	0	0	0
84638	2003	0	0	225	0	0	0
847XX	2003	0	0	69	0	0	0
84086	2003	0	0	369	0	0	0
84536	2003	1	0	0	0	0	0
84766	2003	0	0	157	0	0	0
84316	2003	0	0	208	0	0	0
843XX	2003	0	0	0	0	0	0
84074	2003	11	26	28843	4	20	0
84075	2003	1	2	10405	1	1	0
84076	2003	0	0	372	0	0	0
84070	2003	1	15	23134	0	10	0
84071	2003	0	0	521	0	0	0
84072	2003	0	0	341	0	0	0
846XX	2003	0	0	283	0	0	0
84776	2003	0	0	514	0	0	0
84775	2003	0	1	426	0	1	0
84774	2003	0	0	349	0	0	0
84078	2003	4	10	19591	-1	-2	0
84772	2003	0	0	191	0	0	0
84770	2003	11	48	30596	5	10	0
843HH	2003	0	0	0	0	0	0
84535	2003	1	2	2689	0	2	0
84320	2003	0	0	2475	0	0	0
84414	2003	2	7	20891	-1	0	0
84790	2003	11	39	20939	3	28	0
84039	2003	0	0	698	0	0	0
84654	2003	1	1	2732	0	1	0
84655	2003	0	1	6310	0	1	0
84656	2003	0	0	308	0	0	0
84657	2003	0	0	493	0	-1	0
84650	2003	0	0	90	0	0	0
84097	2003	3	2	20844	0	0	0
84652	2003	0	0	915	0	0	0
84653	2003	4	0	5451	3	-1	0
84088	2003	19	61	39042	5	32	0
84643	2003	0	0	569	0	0	0
84319	2003	0	1	6753	0	-1	0
84636	2003	0	0	444	0	0	0
84001	2003	0	0	775	0	0	0
84003	2003	12	49	30441	-1	24	0
84002	2003	0	0	110	0	0	0
84710	2003	0	0	168	0	0	0
84779	2003	0	0	626	0	0	0
84007	2003	0	0	512	0	-1	0
84006	2003	1	1	726	1	1	0
84760	2003	0	0	652	0	0	0
84761	2003	2	0	2680	0	-1	0
84762	2003	0	0	94	0	0	0
84073	2003	0	0	256	0	0	0
84764	2003	0	0	85	0	0	0
84765	2003	1	2	4473	1	2	0
847HH	2003	0	0	0	0	0	0
84331	2003	0	0	312	0	0	0
84318	2003	0	0	2715	0	0	0
84330	2003	0	0	385	0	0	0
84031	2003	0	0	193	0	0	0
84311	2003	0	0	697	0	0	0
84310	2003	0	3	3126	0	1	0
84313	2003	0	0	121	0	-1	0
84312	2003	0	1	3509	-1	0	0
84315	2003	0	0	6290	0	0	0
84314	2003	0	0	1188	0	0	0
84317	2003	0	0	2148	0	0	0
84743	2003	0	0	202	0	0	0
